Level,Codes,Onderwerpen,Totaal bedrijven,2-100 FTE,1 FTE,2 FTE,3-5 FTE,5-10 FTE,10-20 FTE,20-50 FTE,50-100 FTE,100+ FTE
2,63,63 Diensten op het gebied van informatie,7935,1445,6475,680,330,195,135,90,15,15
3,331,331 Reparatie van machines en apparatuur,5655,1440,4185,445,305,325,210,115,40,30
4,4729,4729 Winkels in overige voedingsmiddelen,2630,1440,1185,600,465,275,85,20,5,5
2,59,59 Film- en tv-productie; geluidsopname,14725,1415,13300,800,295,185,70,50,15,10
4,8692,8692 Overige ambulante gezondheidszorg,7730,1400,6235,545,310,225,145,135,45,95
4,4642,4642 Groothandel in kleding en schoenen,3785,1370,2395,505,345,250,140,105,30,20
4,2562,2562 Algemene metaalbewerkingsindustrie,5640,1365,4270,435,280,290,210,125,25,5
5,46499,46499 Groothandel in overige non-food,4265,1365,2880,570,310,250,135,75,20,20
3,952,952 Reparatie van consumentenartikelen,6930,1360,5570,840,340,135,35,10,5,0
4,9001,9001 Podiumkunst,25685,1355,24325,785,315,170,45,25,10,5
3,631,631 Gegevensverwerking e.d.; webportals,6410,1315,5085,610,300,185,120,90,15,10
4,4622,4622 Groothandel in bloemen en planten,2630,1305,1305,435,315,280,140,105,35,20
4,9002,9002 Diensten voor uitvoerende kunst,12855,1300,11550,690,315,170,65,55,10,5
4,4333,4333 Vloer- en wandafwerkingsbedrijven,7250,1295,5955,725,295,175,70,30,5,0
5,43999,43999 Overige gespecialiseerde bouw,6255,1285,4960,495,280,240,145,95,25,10
4,8622,8622 Praktijken van medisch specialisten,9765,1265,8475,380,280,330,170,80,25,25
2,53,53 Post en koeriers,6900,1265,5625,590,305,200,105,45,20,10
4,7111,7111 Architectenbureaus,6585,1245,5335,555,315,215,100,50,10,5
2,12,012 Teelt van meerjarige gewassen,2140,1245,895,400,245,305,225,60,10,0
3,532,532 Lokale post en koeriers,6845,1240,5595,580,295,195,105,45,20,10
4,5320,5320 Lokale post en koeriers,6845,1240,5595,580,295,195,105,45,20,10
4,5229,5229 Tussenpersonen vrachtvervoer,2685,1225,1395,265,245,275,200,170,75,65
3,251,251 Metalen bouwproductenindustrie,2300,1220,1035,150,170,290,245,255,105,45
3,661,661 Beurzen en financi�le adviesbureaus,5530,1215,4295,500,310,250,95,50,10,20
4,4651,"4651 Groothandel in computers, software",3380,1215,2120,330,285,260,185,110,45,45
3,781,781 Arbeidsbemiddeling,5965,1205,4735,495,245,200,130,95,45,25
4,7810,7810 Arbeidsbemiddeling,5965,1205,4735,495,245,200,130,95,45,25
5,46699,46699 Groothandel in overige machines,2905,1190,1695,385,250,265,150,115,25,20
3,701,701 Holdings en interne concerndiensten,9190,1185,7930,525,185,160,135,110,65,75
4,7010,"7010 Holdings, interne concerndiensten",9190,1185,7930,525,185,160,135,110,65,75
5,52291,52291 Tussenpersonen in vrachtvervoer,2535,1180,1290,250,240,265,195,165,75,65
3,421,"421 Bouw van wegen, spoorwegen, tunnels",5545,1175,4340,455,255,205,130,90,35,30
4,1812,1812 Overige drukkerijen,2175,1175,980,375,235,275,155,100,35,20
5,53202,53202 Koeriers,6685,1170,5505,560,275,185,95,40,15,10
5,69202,69202 Accountantskantoren (AA-consulent),3685,1170,2500,370,245,295,150,80,25,15
5,96022,96022 Schoonheidssalons en pedicures,30025,1140,28885,725,285,100,25,5,0,0
4,4211,"4211 Wegenbouw-, stratenmakersbedrijven",5410,1140,4245,450,250,200,130,85,30,25
5,71111,71111 Architecten (geen interieur-),5455,1135,4315,485,290,205,100,50,10,5
5,55101,55101 Hotel-restaurants,1460,1135,265,160,170,300,270,175,65,60
3,591,"591 Productie, distributie van films, tv",12355,1125,11220,630,225,150,60,45,15,10
2,79,"79 Reisbureaus, reisorganisatie en -info",4790,1120,3650,485,295,170,85,65,20,20
5,86221,86221 Praktijken overige specialisten,8635,1110,7510,330,255,310,145,60,15,15
3,431,431 Sloopbedrijven en grondwerk,5345,1110,4220,325,250,235,170,95,35,15
2,87,87 Verpleging en zorg met overnachting,2410,1100,920,330,235,215,140,105,75,390
3,474,474 Winkels in consumentenelektronica,2560,1090,1455,425,345,245,55,15,5,15
4,2511,2511 Metalen constructiewerkindustrie,2070,1090,945,135,155,250,220,235,95,35
5,43222,43222 Verwarmingsinstallatiebedrijven,3255,1085,2145,345,225,240,150,90,35,25
5,47819,47819 Markthandel in overige voeding,2990,1085,1905,580,315,160,25,5,0,0
4,9329,9329 Overige recreatie (rest),6365,1065,5295,580,280,130,55,15,5,5
4,9312,9312 Buitensport,4675,1065,3600,475,330,175,60,20,5,10
3,453,453 Handel in auto-onderdelen,2705,1060,1625,330,270,245,125,70,20,20
5,47789,47789 Winkels overige artikelen (rest),3250,1055,2195,590,285,120,40,10,5,0
4,4652,4652 Groothandel in overige elektronica,2300,1050,1225,230,220,260,155,150,35,25
4,6209,6209 Overige IT-dienstverlening,7380,1045,6315,390,215,180,130,95,35,20
3,772,772 Verhuur van consumentenartikelen,3695,1035,2655,525,270,135,70,30,10,5
4,4799,"4799 Colportage, straathandel e.d.",6000,1025,4975,640,245,95,30,10,0,0
3,553,553 Kampeerterreinen,1975,1010,965,485,270,150,60,35,5,0
4,5530,5530 Kampeerterreinen,1975,1010,965,485,270,150,60,35,5,0
5,88999,"88999 Overig welzijnswerk, adviesorganen",4850,1005,3830,375,240,165,125,80,25,15
2,75,75 Veterinaire dienstverlening,2230,1005,1225,230,290,315,120,50,0,0
3,750,750 Veterinaire dienstverlening,2230,1005,1225,230,290,315,120,50,0,0
4,7500,7500 Veterinaire dienstverlening,2230,1005,1225,230,290,315,120,50,0,0
2,15,015 Gemengd bedrijf,1945,995,950,575,310,85,15,5,0,0
3,150,0150 Gemengd bedrijf,1945,995,950,575,310,85,15,5,0,0
4,4772,4772 Winkels in schoenen en lederwaren,1480,995,470,335,350,195,80,25,10,15
5,78202,78202 Uitleenbureaus,2385,990,1270,155,150,175,180,230,100,125
3,147,0147 Pluimveehouderij,1595,990,605,625,280,60,10,10,5,0
5,70102,70102 Holdings (geen financi�le),8795,980,7780,505,160,120,95,70,35,35
4,3312,3312 Reparatie en onderhoud van machines,3740,980,2750,275,215,235,150,80,25,10
2,72,72 Research,4010,975,2985,265,210,210,135,115,45,50
3,325,325 Medische instrumentenindustrie,1845,965,865,320,260,205,115,50,10,15
4,3250,3250 Medische instrumentenindustrie,1845,965,865,320,260,205,115,50,10,15
4,9609,9609 Overige dienstverlening (rest),11910,960,10950,590,210,110,35,10,0,0
3,732,732 Markt- en opinieonderzoek,5625,960,4655,400,190,165,105,75,25,10
4,7320,7320 Markt- en opinieonderzoek,5625,960,4655,400,190,165,105,75,25,10
3,881,"881 Welzijnswerk ouderen, gehandicapten",13850,955,12800,320,175,175,130,100,55,95
4,8810,"8810 Welzijnswerk ouderen, gehandicapten",13850,955,12800,320,175,175,130,100,55,95
4,6832,6832 Beheer van onroerend goed,4515,955,3555,465,240,130,70,30,20,5
3,791,"791 Reisbureaus, reisorganisatiebureaus",3635,955,2660,425,255,135,75,45,15,20
2,58,58 Uitgeverijen,3520,955,2530,390,195,175,90,80,25,35
5,47591,47591 Winkels in meubels,1925,950,965,390,280,170,70,30,10,10
4,4646,4646 Groothandel in medische artikelen,2090,945,1095,220,190,185,140,145,60,50
3,124,0124 Teelt van pit- en steenvruchten,1405,945,460,270,185,245,195,45,5,0
3,581,581 Uitgeverijen,3420,935,2450,385,190,170,85,75,25,35
5,86913,86913 Praktijken van psychologen,14695,925,13765,590,170,105,40,15,5,5
4,8553,8553 Auto- en motorrijscholen,8250,910,7340,540,190,110,45,25,0,0
2,16,16 Houtindustrie,2400,910,1475,305,175,205,110,90,30,15
5,47782,47782 Winkels in optische artikelen,1255,910,340,275,330,245,45,15,5,5
4,3101,3101 Bedrijfsmeubelindustrie,4080,895,3170,325,220,185,95,60,10,15
5,45204,45204 Carrosserieherstel,2045,890,1150,275,210,220,140,45,5,5
5,90011,90011 Beoefening van podiumkunst,19865,885,18975,480,225,135,25,10,10,5
5,85599,"85599 Studiebegeleiding, onderwijs (rest",12795,885,11905,570,165,85,40,20,5,5
4,5911,5911 Productie van film en televisie,8855,880,7970,525,185,105,35,25,5,5
4,6619,6619 Overige financi�le bemiddeling,3520,880,2625,345,240,195,65,30,10,15
4,4638,4638 Groothandel in overige voeding,2350,880,1450,270,170,175,120,110,30,20
5,93299,93299 Overige recreatie (geen havens),5980,875,5105,505,210,95,45,10,5,0
3,111,0111 Teelt van granen en peulvruchten,3105,870,2235,585,225,45,15,0,0,0
4,4647,4647 Groothandel in woninginrichting,2455,870,1580,330,205,180,85,55,15,5
5,47721,47721 Winkels in schoenen,1230,870,350,285,310,175,70,20,10,10
3,741,741 Industrieel ontwerp,18030,850,17175,530,165,90,40,20,5,5
4,7410,7410 Industrieel ontwerp,18030,850,17175,530,165,90,40,20,5,5
4,9003,9003 Scheppende kunst,30275,845,29430,695,95,35,15,10,0,0
4,4777,4777 Juweliers,1490,845,640,345,310,155,25,10,0,5
4,4312,4312 Grondverzetbedrijven,4280,835,3435,255,195,170,120,70,25,10
3,643,643 Beleggingsinstellingen,9125,830,8295,465,185,105,40,25,10,0
4,6430,6430 Beleggingsinstellingen,9125,830,8295,465,185,105,40,25,10,0
5,69209,69209 Overige administratiekantoren,5030,830,4195,405,200,120,50,50,5,5
5,69204,69204 Belastingadviesbureaus,4270,825,3440,395,190,165,55,20,0,5
4,8122,8122 Gespecialiseerde reiniging gebouwen,3560,825,2720,315,215,155,80,50,15,15
3,721,721 Natuurwetenschappelijke research,2855,820,1990,205,185,180,120,100,35,45
4,9311,9311 Sportaccommodaties,1745,820,915,195,190,190,145,75,25,10
4,4391,4391 Dakbouwbedrijven,2845,810,2030,315,200,155,90,40,5,5
4,8551,8551 Sportonderwijs,12210,805,11405,520,185,70,20,5,0,0
4,4774,"4774 Drogisten, orthopedische winkels",1200,805,390,205,270,235,60,30,5,5
4,4531,4531 Groothandel in auto-onderdelen,1900,800,1080,220,195,200,105,65,15,20
3,162,"162 Hout-, kurk-, en rietwarenindustrie",2125,790,1325,260,145,175,100,80,25,10
4,4726,4726 Winkels in tabaksproducten,1220,790,430,370,295,110,10,0,0,0
5,47593,47593 Winkels woninginrichting algemeen,1700,785,910,315,255,150,45,15,5,5
4,4773,4773 Apotheken,1020,780,225,15,45,185,360,155,25,15
3,773,773 Zakelijke verhuur van goederen,2910,770,2125,320,185,125,75,45,15,15
4,9313,9313 Fitnesscentra,1325,770,550,250,245,195,65,15,5,5
5,46738,46738 Groothandel overige bouwmaterialen,1785,765,1015,245,170,180,100,55,15,5
3,742,742 Fotografie en foto-ontwikkeling,16630,760,15870,570,130,30,20,10,0,0
4,7420,7420 Fotografie en foto-ontwikkeling,16630,760,15870,570,130,30,20,10,0,0
5,47763,47763 Winkels in dierbenodigdheden,1525,760,765,375,245,105,25,5,0,0
5,59111,"59111 Filmproductie, geen televisiefilms",7845,750,7095,465,165,85,20,10,0,0
5,45205,45205 Overige autoreparatie en slepen,2330,750,1580,295,230,140,55,25,5,0
5,85519,85519 Overig sportonderwijs,11985,745,11240,495,170,55,15,5,0,0
3,469,469 Niet-gespecialiseerde groothandel,3495,745,2740,395,170,115,40,25,5,10
